id,family_id,class_code,source_kind,owner_stage,destination,status,package_status,possible_reference_ids,evidence,evidence_level,legacy-vector-symbols,transformer-vector-shapes,guy-vector-shapes,declarative-vector-packages,raster-template,raster-hough-generalizado,structural-raster-graph,structural-vector-graph,document-local-legend,learned-e11
cemig-eo-r3-s03-v014,family-f02-03,POSTE,EC,E07,support_review,ainda_nao_suportado,pending,,Forma E01: Círculos com quatro pequenos raios externos; preenchimento ou X conforme linha; contorno/base. Postes de §3 e §8 repetem contornos; material e situação dependem de meia coroa/X e contexto ainda não discriminados.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s03-v015,family-f02-03,POSTE,EC,E07,support_review,ainda_nao_suportado,pending,,Forma E01: Círculos com quatro pequenos raios externos; preenchimento ou X conforme linha; preenchimento de instalação. Postes de §3 e §8 repetem contornos; material e situação dependem de meia coroa/X e contexto ainda não discriminados.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s03-v016,family-f02-03,POSTE,EC,E07,support_review,ainda_nao_suportado,pending,,Forma E01: Círculos com quatro pequenos raios externos; preenchimento ou X conforme linha; marca de retirada/substituição. Postes de §3 e §8 repetem contornos; material e situação dependem de meia coroa/X e contexto ainda não discriminados.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s03-v017,family-f02-03,POSTE,EC,E07,support_review,ainda_nao_suportado,pending,,Forma E01: Anel com centro preenchido. Postes de §3 e §8 repetem contornos; material e situação dependem de meia coroa/X e contexto ainda não discriminados.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s03-v018,family-f02-03,POSTE,EC,E07,support_review,ainda_nao_suportado,pending,,Forma E01: Círculo em quatro quadrantes. Postes de §3 e §8 repetem contornos; material e situação dependem de meia coroa/X e contexto ainda não discriminados.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s03-v019,family-f02-03,POSTE,EC,E07,support_review,ainda_nao_suportado,pending,,Forma E01: Anel com centro e meia coroa preenchidos na instalação; X vermelho na retirada. Postes de §3 e §8 repetem contornos; material e situação dependem de meia coroa/X e contexto ainda não discriminados.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s03-v020,family-f02-03,POSTE,EC,E07,support_review,ainda_nao_suportado,pending,,Forma E01: Quadrantes opostos preenchidos na instalação; X vermelho na retirada. Postes de §3 e §8 repetem contornos; material e situação dependem de meia coroa/X e contexto ainda não discriminados.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s03-v021,family-f02-03,POSTE,EC,E07,support_review,ainda_nao_suportado,pending,,Forma E01: Anel com centro e meia coroa preenchidos na instalação; X vermelho na retirada. Postes de §3 e §8 repetem contornos; material e situação dependem de meia coroa/X e contexto ainda não discriminados.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s03-v022,family-f02-03,POSTE,EC,E07,support_review,ainda_nao_suportado,pending,,Forma E01: Quadrantes opostos preenchidos na instalação; X vermelho na retirada. Postes de §3 e §8 repetem contornos; material e situação dependem de meia coroa/X e contexto ainda não discriminados.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s03-v023,family-f02-03,POSTE,EC,E07,support_review,ainda_nao_suportado,pending,,Forma E01: Círculo simples; meio círculo preto na instalação; X vermelho na retirada; contorno/base. Postes de §3 e §8 repetem contornos; material e situação dependem de meia coroa/X e contexto ainda não discriminados.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s03-v024,family-f02-03,POSTE,EC,E07,support_review,ainda_nao_suportado,pending,,Forma E01: Círculo simples; meio círculo preto na instalação; X vermelho na retirada; preenchimento de instalação. Postes de §3 e §8 repetem contornos; material e situação dependem de meia coroa/X e contexto ainda não discriminados.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s03-v025,family-f02-03,POSTE,EC,E07,support_review,ainda_nao_suportado,pending,,Forma E01: Círculo simples; meio círculo preto na instalação; X vermelho na retirada; marca de retirada/substituição. Postes de §3 e §8 repetem contornos; material e situação dependem de meia coroa/X e contexto ainda não discriminados.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s04-v001,family-f02-04,CONVENCAO_EO,EC,E07,document_convention,informativo,pending,,destino sem ativo; pacote pending não significa reconhecimento,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,informativo_nao_ativo,fora_do_dominio
cemig-eo-r3-s05-v001,family-f02-05,CAIXA_SUBTERRANEA,EC,E07,network_context,ainda_nao_suportado,pending,,"Forma E01: Quadrado ciano; triângulo preenchido ou X; contorno/base. Caixas compartilham quadrado, octógono e contornos; componentes internos e estado desta variante ainda carecem de positivo/negativo independente.",documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s05-v002,family-f02-05,CAIXA_SUBTERRANEA,EC,E07,network_context,ainda_nao_suportado,pending,,"Forma E01: Quadrado ciano; triângulo preenchido ou X; preenchimento de instalação. Caixas compartilham quadrado, octógono e contornos; componentes internos e estado desta variante ainda carecem de positivo/negativo independente.",documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s05-v003,family-f02-05,CAIXA_SUBTERRANEA,EC,E07,network_context,ainda_nao_suportado,pending,,"Forma E01: Quadrado ciano; triângulo preenchido ou X; marca de retirada/substituição. Caixas compartilham quadrado, octógono e contornos; componentes internos e estado desta variante ainda carecem de positivo/negativo independente.",documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s05-v004,family-f02-05,CAIXA_SUBTERRANEA,EC,E07,network_context,reconhecido_exato,enabled,,E07 gramática e positivo autoral com ID exato; sem homologação real,synthetic_only,fora_do_dominio,fora_do_dominio,fora_do_dominio,id_exato_sintetico,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s05-v005,family-f02-05,CAIXA_SUBTERRANEA,EC,E07,network_context,ainda_nao_suportado,pending,,"Forma E01: Octógono ciano; preenchimento inferior ou X; contorno/base. Caixas compartilham quadrado, octógono e contornos; componentes internos e estado desta variante ainda carecem de positivo/negativo independente.",documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s05-v006,family-f02-05,CAIXA_SUBTERRANEA,EC,E07,network_context,ainda_nao_suportado,pending,,"Forma E01: Octógono ciano; preenchimento inferior ou X; preenchimento de instalação. Caixas compartilham quadrado, octógono e contornos; componentes internos e estado desta variante ainda carecem de positivo/negativo independente.",documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s05-v007,family-f02-05,CAIXA_SUBTERRANEA,EC,E07,network_context,ainda_nao_suportado,pending,,"Forma E01: Octógono ciano; preenchimento inferior ou X; marca de retirada/substituição. Caixas compartilham quadrado, octógono e contornos; componentes internos e estado desta variante ainda carecem de positivo/negativo independente.",documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s05-v008,family-f02-05,CAIXA_SUBTERRANEA,EC,E07,network_context,ainda_nao_suportado,pending,,"Forma E01: Retângulo com três pares de terminais cruzados. Caixas compartilham quadrado, octógono e contornos; componentes internos e estado desta variante ainda carecem de positivo/negativo independente.",documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s05-v009,family-f02-05,CAIXA_SUBTERRANEA,EC,E07,network_context,ainda_nao_suportado,pending,,"Forma E01: Retângulo com dois terminais e linha. Caixas compartilham quadrado, octógono e contornos; componentes internos e estado desta variante ainda carecem de positivo/negativo independente.",documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s05-v010,family-f02-05,CAIXA_SUBTERRANEA,EC,E07,network_context,ainda_nao_suportado,pending,,"Forma E01: Dois quadrados ciano. Caixas compartilham quadrado, octógono e contornos; componentes internos e estado desta variante ainda carecem de positivo/negativo independente.",documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s05-v011,family-f02-05,CAIXA_SUBTERRANEA,EC,E07,network_context,ainda_nao_suportado,pending,,"Forma E01: Contorno ortogonal em L. Caixas compartilham quadrado, octógono e contornos; componentes internos e estado desta variante ainda carecem de positivo/negativo independente.",documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s05-v012,family-f02-05,CAIXA_SUBTERRANEA,EC,E07,network_context,ainda_nao_suportado,pending,,"Forma E01: Linha verde angular com colchetes. Caixas compartilham quadrado, octógono e contornos; componentes internos e estado desta variante ainda carecem de positivo/negativo independente.",documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s05-v013,family-f02-05,CAIXA_SUBTERRANEA,EC,E07,network_context,ainda_nao_suportado,pending,,"Forma E01: Dois quadrados ciano. Caixas compartilham quadrado, octógono e contornos; componentes internos e estado desta variante ainda carecem de positivo/negativo independente.",documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s06-v001,family-f02-06,CAMARA,EC,E07,network_context,reconhecido_exato,enabled,,E07 gramática e positivo autoral com ID exato; sem homologação real,synthetic_only,fora_do_dominio,fora_do_dominio,fora_do_dominio,id_exato_sintetico,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s06-v002,family-f02-06,CAMARA,EC,E07,network_context,ainda_nao_suportado,pending,,Forma E01: Retângulo vermelho com CT; preenchimento diagonal ou X; preenchimento de instalação. Triângulo preenchido e X mudam situação do mesmo quadro CT/CL/CM; falta gramática e negativo específicos deste estado.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s06-v003,family-f02-06,CAMARA,EC,E07,network_context,ainda_nao_suportado,pending,,Forma E01: Retângulo vermelho com CT; preenchimento diagonal ou X; marca de retirada/substituição. Triângulo preenchido e X mudam situação do mesmo quadro CT/CL/CM; falta gramática e negativo específicos deste estado.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s06-v004,family-f02-06,CAMARA,EC,E07,network_context,reconhecido_exato,enabled,,E07 gramática e positivo autoral com ID exato; sem homologação real,synthetic_only,fora_do_dominio,fora_do_dominio,fora_do_dominio,id_exato_sintetico,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s06-v005,family-f02-06,CAMARA,EC,E07,network_context,ainda_nao_suportado,pending,,Forma E01: Retângulo CL e preenchimento diagonal. Triângulo preenchido e X mudam situação do mesmo quadro CT/CL/CM; falta gramática e negativo específicos deste estado.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s06-v006,family-f02-06,CAMARA,EC,E07,network_context,ainda_nao_suportado,pending,,Forma E01: Retângulo CL com X. Triângulo preenchido e X mudam situação do mesmo quadro CT/CL/CM; falta gramática e negativo específicos deste estado.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s06-v007,family-f02-06,CAMARA,EC,E07,network_context,reconhecido_exato,enabled,,E07 gramática e positivo autoral com ID exato; sem homologação real,synthetic_only,fora_do_dominio,fora_do_dominio,fora_do_dominio,id_exato_sintetico,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s06-v008,family-f02-06,CAMARA,EC,E07,network_context,ainda_nao_suportado,pending,,Forma E01: Retângulo CM; diagonal preenchida ou X; preenchimento de instalação. Triângulo preenchido e X mudam situação do mesmo quadro CT/CL/CM; falta gramática e negativo específicos deste estado.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s06-v009,family-f02-06,CAMARA,EC,E07,network_context,ainda_nao_suportado,pending,,Forma E01: Retângulo CM; diagonal preenchida ou X; marca de retirada/substituição. Triângulo preenchido e X mudam situação do mesmo quadro CT/CL/CM; falta gramática e negativo específicos deste estado.,documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s07-v001,family-f02-07,PLATAFORMA,EC,E07,network_context,reconhecido_exato,enabled,,E07 gramática e positivo autoral com ID exato; sem homologação real,synthetic_only,fora_do_dominio,fora_do_dominio,fora_do_dominio,id_exato_sintetico,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s07-v002,family-f02-07,PLATAFORMA,EC,E07,network_context,reconhecido_exato,enabled,,E07 gramática e positivo autoral com ID exato; sem homologação real,synthetic_only,fora_do_dominio,fora_do_dominio,fora_do_dominio,id_exato_sintetico,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s07-v003,family-f02-07,PLATAFORMA,EC,E07,network_context,reconhecido_exato,enabled,,E07 gramática e positivo autoral com ID exato; sem homologação real,synthetic_only,fora_do_dominio,fora_do_dominio,fora_do_dominio,id_exato_sintetico,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s07-v004,family-f02-07,PLATAFORMA,EC,E07,network_context,reconhecido_exato,enabled,,E07 gramática e positivo autoral com ID exato; sem homologação real,synthetic_only,fora_do_dominio,fora_do_dominio,fora_do_dominio,id_exato_sintetico,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s07-v005,family-f02-07,PLATAFORMA,EC,E07,network_context,reconhecido_exato,enabled,,E07 gramática e positivo autoral com ID exato; sem homologação real,synthetic_only,fora_do_dominio,fora_do_dominio,fora_do_dominio,id_exato_sintetico,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s08-v001,family-f02-08,POSTE_AT,EC,E07,support_review,ainda_nao_suportado,pending,,"Forma E01: Dois círculos. Círculo, retângulo e octógono repetem §3 e outros suportes; material e rede AT exigem contexto além da forma.",documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s08-v002,family-f02-08,POSTE_AT,EC,E07,support_review,ainda_nao_suportado,pending,,"Forma E01: Retângulo. Círculo, retângulo e octógono repetem §3 e outros suportes; material e rede AT exigem contexto além da forma.",documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s08-v003,family-f02-08,POSTE_AT,EC,E07,support_review,ainda_nao_suportado,pending,,"Forma E01: Círculo. Círculo, retângulo e octógono repetem §3 e outros suportes; material e rede AT exigem contexto além da forma.",documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s08-v004,family-f02-08,POSTE_AT,EC,E07,support_review,ainda_nao_suportado,pending,,"Forma E01: Octógono. Círculo, retângulo e octógono repetem §3 e outros suportes; material e rede AT exigem contexto além da forma.",documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
cemig-eo-r3-s08-v005,family-f02-08,POSTE_AT,EC,E07,support_review,ainda_nao_suportado,pending,,"Forma E01: Octógono. Círculo, retângulo e octógono repetem §3 e outros suportes; material e rede AT exigem contexto além da forma.",documented,fora_do_dominio,fora_do_dominio,fora_do_dominio,pendente_sem_inferencia,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio,fora_do_dominio
